iter	RMSE
0	0.1381240656
1	0.1342772761
2	0.1305603701
3	0.1269862443
4	0.1235018587
5	0.1200871038
6	0.1168249851
7	0.11368647
8	0.1106098003
9	0.1076267463
10	0.1047376974
11	0.1019448464
12	0.09924849805
13	0.09663337541
14	0.09411117999
15	0.09168045121
16	0.08930871863
17	0.08697179886
18	0.08474403082
19	0.08256352737
20	0.08048034566
21	0.07842260347
22	0.07646010542
23	0.0745394633
24	0.07270343828
25	0.07091590214
26	0.06919805361
27	0.0674794936
28	0.06583845786
29	0.06428785267
30	0.06274840634
31	0.06127567107
32	0.05988836874
33	0.05854327648
34	0.05717900041
35	0.0559675707
36	0.05471822503
37	0.05352937308
38	0.05233639721
39	0.05119850056
40	0.05013474766
41	0.04908750585
42	0.0480650692
43	0.04706681578
44	0.04614315049
45	0.04523143616
46	0.04434222345
47	0.04349609397
48	0.04268519064
49	0.04187230952
50	0.04110307275
51	0.04037535127
52	0.03969519772
53	0.03900505561
54	0.03836347211
55	0.03773430088
56	0.03711795509
57	0.03654359132
58	0.03597470348
59	0.03543976241
60	0.03490202757
61	0.03441499046
62	0.03392704533
63	0.03345940781
64	0.03300615491
65	0.03256990746
66	0.03217567107
67	0.03178360395
68	0.03142264581
69	0.03106040239
70	0.03071036365
71	0.03038246541
72	0.03006427531
73	0.02976705908
74	0.02946650241
75	0.02918334262
76	0.02891730133
77	0.02866223566
78	0.02842304039
79	0.02818782818
80	0.0279654428
81	0.02776892492
82	0.02757132664
83	0.02737718817
84	0.02719618161
85	0.02702778424
86	0.02685565032
87	0.02668563335
88	0.02652583392
89	0.02636433266
90	0.02622790394
91	0.02608576399
92	0.02596315741
93	0.02585251939
94	0.02573906354
95	0.02561658637
96	0.02550292544
97	0.0254074847
98	0.02529874343
99	0.02520714063
100	0.02511689229
101	0.02503016923
102	0.0249448376
103	0.02485926473
104	0.02479210827
105	0.02472256016
106	0.0246595729
107	0.02459527161
108	0.02452595322
109	0.02447306994
110	0.02440426468
111	0.02435617147
112	0.02429225176
113	0.02423071797
114	0.02418518843
115	0.02414072824
116	0.0240921186
117	0.02404873903
118	0.02401248486
119	0.02396371227
120	0.02392498602
121	0.02389088477
122	0.02385995383
123	0.02383255137
124	0.02379695373
125	0.02376574792
126	0.0237356129
127	0.02370797116
128	0.0236692924
129	0.02363464912
130	0.02360069481
131	0.0235779219
132	0.0235478022
133	0.02351676498
134	0.02348991357
135	0.02346455197
136	0.02344771808
137	0.0234208514
138	0.02339876925
139	0.02338093776
140	0.02335638925
141	0.02332645303
142	0.02330407149
143	0.02328570785
144	0.02326813828
145	0.02324364582
146	0.02322760172
147	0.02320926246
148	0.02318368674
149	0.02316245392
150	0.02314333899
151	0.02312429124
152	0.02311063189
153	0.02309991316
154	0.02308300562
155	0.02306431035
156	0.02305421671
157	0.02304088587
158	0.02302083485
159	0.02301156839
160	0.02298263828
161	0.02297017683
162	0.02295919376
163	0.02294766549
164	0.02293925555
165	0.02292428455
166	0.02291034691
167	0.02290226163
168	0.02289163573
169	0.02288278427
170	0.02287436698
171	0.02286322586
172	0.02284884831
173	0.022837775
174	0.02283082329
175	0.02281443087
176	0.02280696769
177	0.02279148397
178	0.02277780839
179	0.02277057237
180	0.02275901994
181	0.02274833695
182	0.02273570703
183	0.02272566493
184	0.02271761045
185	0.02270777341
186	0.02269716305
187	0.0226860112
188	0.02267591326
189	0.02266649507
190	0.02265686875
191	0.02264949274
192	0.02264034324
193	0.0226335472
194	0.02262632073
195	0.022603592
196	0.02257600671
197	0.02256768739
198	0.02254912154
199	0.02253990958
200	0.02253108488
201	0.02250926266
202	0.02250425212
203	0.02249734312
204	0.02248892104
205	0.02247257857
206	0.02246538959
207	0.0224601243
208	0.02245622087
209	0.0224428833
210	0.02243753827
211	0.02242450596
212	0.02241830139
213	0.02241122467
214	0.02240606479
215	0.02239928573
216	0.0223908493
217	0.02238414508
218	0.02237189733
219	0.02236238275
220	0.02234682376
221	0.02233683645
222	0.02232882616
223	0.02232463156
224	0.02230717589
225	0.02229110029
226	0.02227976395
227	0.02227308918
228	0.02226623294
229	0.02226261022
230	0.02224928887
231	0.02224362291
232	0.022234991
233	0.02222967884
234	0.02222547055
235	0.02221736535
236	0.0222063531
237	0.02219784246
238	0.02219007952
239	0.02217537946
240	0.02216303007
241	0.02215266038
242	0.02214182566
243	0.02213512
244	0.02213071676
245	0.02212352709
246	0.022111478
247	0.02210426756
248	0.02210078378
249	0.02209496033
250	0.02208899642
251	0.0220752214
252	0.02206803941
253	0.02205847393
254	0.02205367577
255	0.0220467307
256	0.02204235558
257	0.02203468859
258	0.02202939702
259	0.0220258009
260	0.02201983345
261	0.02201148476
262	0.02199970958
263	0.02198837833
264	0.0219849152
265	0.02197660112
266	0.02196602657
267	0.02195689787
268	0.02195163104
269	0.02194536879
270	0.02194168669
271	0.02193586906
272	0.02192759521
273	0.02192037543
274	0.02191571446
275	0.02190794796
276	0.02190218855
277	0.0218952517
278	0.02188721174
279	0.02187968987
280	0.02187164678
281	0.02186591229
282	0.02185751358
283	0.02185111258
284	0.02184532236
285	0.02183564859
286	0.02182670819
287	0.02182477527
288	0.02182002498
289	0.02181456068
290	0.02180626447
291	0.02179921303
292	0.02179649366
293	0.02179031962
294	0.02178703196
295	0.02178070177
296	0.02177672627
297	0.02176726588
298	0.02176037236
299	0.02175422913
300	0.02174855963
301	0.02174594614
302	0.02174190753
303	0.02173955338
304	0.0217344284
305	0.02173143197
306	0.02172760548
307	0.02171977114
308	0.02171456076
309	0.02170784919
310	0.02170351072
311	0.02170080429
312	0.02169642984
313	0.02169371444
314	0.0216902939
315	0.02168407367
316	0.02167781149
317	0.02167217418
318	0.02167036817
319	0.02166775649
320	0.02166425637
321	0.02166035801
322	0.0216555722
323	0.02165195492
324	0.02164672297
325	0.02164268241
326	0.02163775719
327	0.02162899331
328	0.02162093401
329	0.02161697134
330	0.02161424598
331	0.02160947313
332	0.02160557641
333	0.02160050902
334	0.02159669461
335	0.02158934638
336	0.02158582859
337	0.02157612227
338	0.02157160766
339	0.02156904476
340	0.02156589242
341	0.02155975871
342	0.02155353726
343	0.02154720966
344	0.02154067188
345	0.02153581458
346	0.0215323407
347	0.02152712852
348	0.02152579466
349	0.02152056224
350	0.02151378332
351	0.0215082184
352	0.02150300978
353	0.02149968355
354	0.02149234389
355	0.02148801154
356	0.02148163053
357	0.02147392696
358	0.02146916409
359	0.02146457856
360	0.02145874497
361	0.02145477146
362	0.02145188154
363	0.0214487705
364	0.02144264077
365	0.02143749384
366	0.02143330247
367	0.02142952205
368	0.02142480843
369	0.02141926009
370	0.02141561333
371	0.02141272229
372	0.02140858618
373	0.02140557151
374	0.02140109694
375	0.0213963208
376	0.02139127946
377	0.02138748753
378	0.02138421192
379	0.02138309239
380	0.02137599412
381	0.02137325016
382	0.02136956503
383	0.02136521351
384	0.02135739268
385	0.02135535018
386	0.02135330809
387	0.02134745669
388	0.021342035
389	0.02133565098
390	0.02133245689
391	0.02132557708
392	0.02132239363
393	0.0213190913
394	0.02131320998
395	0.02131165485
396	0.02130721006
397	0.02130187571
398	0.02129866175
399	0.02129268749
400	0.02128627106
401	0.02128103818
402	0.02127573735
403	0.02127220474
404	0.02127037319
405	0.02126705262
406	0.02126017728
407	0.02125692823
408	0.02125217464
409	0.021246054
410	0.02124191329
411	0.02123930114
412	0.02123267252
413	0.02122637092
414	0.02122247919
415	0.02121759206
416	0.02121516197
417	0.02121092048
418	0.02120417808
419	0.02120187687
420	0.02119731499
421	0.02119281949
422	0.02118745106
423	0.02118611403
424	0.02118128938
425	0.02117670247
426	0.02116992934
427	0.02116766839
428	0.0211645321
429	0.02115793688
430	0.02115362443
431	0.02115090124
432	0.02114665719
433	0.02114313646
434	0.02113887498
435	0.02113766483
436	0.02113271053
437	0.02112719467
438	0.02112414095
439	0.02111683073
440	0.02111340011
441	0.02111217376
442	0.02110924531
443	0.0211045939
444	0.02109877261
445	0.02109663803
446	0.02109068164
447	0.02108396536
448	0.02107982108
449	0.0210758501
450	0.02106972486
451	0.02106600814
452	0.02106078175
453	0.02105945181
454	0.02105669862
455	0.02105211109
456	0.02105026708
457	0.02104705546
458	0.02104482908
459	0.021040782
460	0.02103963271
461	0.02103681618
462	0.02103287224
463	0.02102821825
464	0.02102348199
465	0.0210190418
466	0.02101657413
467	0.0210140467
468	0.02100964168
469	0.02100516088
470	0.02100362947
471	0.0209995238
472	0.02099819605
473	0.0209951048
474	0.02099278574
475	0.02098990845
476	0.0209865961
477	0.02098440091
478	0.02098269363
479	0.02097943775
480	0.02097398766
481	0.02096974041
482	0.02096697089
483	0.02096019532
484	0.0209583269
485	0.02095652719
486	0.02095228859
487	0.02094654249
488	0.02094580591
489	0.02094321013
490	0.02093901273
491	0.02093520329
492	0.02093262989
493	0.02092744359
494	0.02092361019
495	0.02091951789
496	0.02091873496
497	0.02091315903
498	0.0209084343
499	0.02090526213
500	0.02089910953
501	0.02089696391
502	0.02089338241
503	0.02089033043
504	0.02088548749
505	0.02088154652
506	0.02087569697
507	0.02087256567
508	0.02086906504
509	0.02086758127
510	0.02086309464
511	0.02085900719
512	0.0208553345
513	0.02085315523
514	0.02084919405
515	0.02084315535
516	0.02083771957
517	0.02083563019
518	0.02083046392
519	0.02082851515
520	0.02082504071
521	0.02082378177
522	0.02082123567
523	0.02081701398
524	0.02081551029
525	0.02081234205
526	0.02081001103
527	0.02080446323
528	0.02080183026
529	0.0207980507
530	0.02079407268
531	0.02079182801
532	0.0207889872
533	0.0207868524
534	0.02078296178
535	0.02078195839
536	0.02077840201
537	0.02077615213
538	0.02077390159
539	0.02076982531
540	0.02076606615
541	0.02076164297
542	0.0207578919
543	0.02075669741
544	0.0207522054
545	0.0207492259
546	0.02074537073
547	0.02074155259
548	0.0207369597
549	0.02073304087
550	0.0207295707
551	0.02072619066
552	0.02072525184
553	0.02072312363
554	0.0207196192
555	0.0207157323
556	0.02071056614
557	0.02070972804
558	0.02070745765
559	0.02070528574
560	0.02070440049
561	0.02069967697
562	0.02069600244
563	0.02069265202
564	0.02068921916
565	0.02068595974
566	0.02068271758
567	0.02067909727
568	0.02067665474
569	0.0206750911
570	0.02067154873
571	0.0206681819
572	0.02066207497
573	0.02065967885
574	0.02065751437
575	0.02065317106
576	0.02065083024
577	0.02064664467
578	0.02064346695
579	0.02063955357
580	0.02063862563
581	0.02063487103
582	0.020634003
583	0.0206316427
584	0.02062889411
585	0.02062792563
586	0.02062547004
587	0.0206212819
588	0.02061496509
589	0.0206116956
590	0.02060804255
591	0.02060569184
592	0.02060071462
593	0.02059799091
594	0.02059473763
595	0.02059131757
596	0.0205905285
597	0.02058700428
598	0.02058627084
599	0.02058259145
600	0.02058051569
601	0.02057829377
602	0.0205754276
603	0.02057061316
604	0.02056650975
605	0.02056444185
606	0.02056059936
607	0.020557397
608	0.02055358256
609	0.02055188593
610	0.02054881857
611	0.02054587541
612	0.02054284626
613	0.02053997375
614	0.02053864285
615	0.02053611615
616	0.02053242687
617	0.02053065547
618	0.02052574302
619	0.02052245543
620	0.02052007093
621	0.0205157749
622	0.02051388646
623	0.02051190336
624	0.02050741165
625	0.0205049998
626	0.02050090694
627	0.02049740914
628	0.02049546855
629	0.02049315702
630	0.02049050591
631	0.02048569498
632	0.02048258638
633	0.02048020326
634	0.02047817585
635	0.02047445767
636	0.02047215238
637	0.02046915422
638	0.02046580252
639	0.02046329797
640	0.02046142838
641	0.0204595098
642	0.02045684352
643	0.02045222526
644	0.0204497475
645	0.02044555563
646	0.02044244879
647	0.02043902546
648	0.02043559079
649	0.02043312058
650	0.02043230225
651	0.02043032725
652	0.02042920369
653	0.02042750712
654	0.02042258948
655	0.02042104132
656	0.02041863589
657	0.02041739493
658	0.02041575323
659	0.020412481
660	0.02040944844
661	0.02040510325
662	0.02040334857
663	0.0204009565
664	0.0203992356
665	0.02039579866
666	0.02039413985
667	0.0203914988
668	0.02038721425
669	0.02038433201
670	0.02038231402
671	0.02037954878
